id,game_name,song_name,is_4/4,time_signature_count,valid_tracks,unique_valid_tracks
0,4 Nin Shogi (Japan),Menu.mid,TRUE,1,4,3
1,4 Nin Shogi (Japan),Rules.mid,TRUE,1,2,2
2,7th Saga,7thsaga_bt1.mid,TRUE,1,4,4
3,7th Saga,7sbattle1.mid,TRUE,0,8,5
4,7th Saga,7sbattle2.mid,TRUE,0,7,5
5,7th Saga,7thsaga_bt2_w.mid,TRUE,1,5,4
6,7th Saga,7thsaga_bt2.mid,TRUE,1,3,3
7,7th Saga,7thsaga_town3-1.mid,TRUE,1,2,2
8,7th Saga,7sboss.mid,TRUE,0,7,4
9,7th Saga,7scave.mid,TRUE,0,4,3
10,7th Saga,7thsaga_cave.mid,TRUE,1,5,3
13,7th Saga,7batldun.mid,TRUE,1,7,4
14,7th Saga,7sdunbat2.mid,TRUE,1,9,5
15,7th Saga,7thsaga_dbt_w.mid,TRUE,1,5,5
16,7th Saga,7thsaga_dbt.mid,TRUE,1,4,3
18,7th Saga,town2.mid,TRUE,1,3,3
19,7th Saga,7thsaga_guntz.mid,TRUE,1,1,1
20,7th Saga,7inn.mid,TRUE,1,5,2
21,7th Saga,7scastle.mid,TRUE,0,5,3
22,7th Saga,7thsaga_town1.mid,TRUE,1,2,2
23,7th Saga,7thsaga_melenam.mid,TRUE,1,4,2
25,7th Saga,7thsaga_town2.mid,TRUE,1,2,2
26,7th Saga,7shop.mid,TRUE,1,0,0
27,7th Saga,7victory.mid,TRUE,1,4,3
29,7th Saga,7thsaga_world1.mid,TRUE,1,2,2
33,90 Minutes  European Prime Goal,BL_jlspg3_halftime.mid,TRUE,1,2,2
35,ActRaiser,Bloodpool.mid,TRUE,1,8,3
36,ActRaiser,Action.mid,TRUE,1,10,3
37,ActRaiser,actr1bl1.mid,TRUE,1,8,4
40,ActRaiser,actraiser_boss_battle_1.mid,TRUE,1,28,4
41,ActRaiser,Actraiser_BattleTheme.mid,TRUE,1,8,4
42,ActRaiser,actraiser_boss_battle_2.mid,TRUE,1,27,4
43,ActRaiser,FierceBattle.mid,TRUE,1,15,4
44,ActRaiser,AR_Kyouteki_Xg.mid,TRUE,1,12,4
45,ActRaiser,actraiser_boss_battle_3.mid,TRUE,1,28,4
46,ActRaiser,Actbattle.mid,TRUE,1,10,4
47,ActRaiser,Descent.mid,TRUE,1,7,3
48,ActRaiser,actend1.mid,TRUE,1,9,3
50,ActRaiser,actcred.mid,TRUE,1,11,4
52,ActRaiser,actraiser_forest.mid,TRUE,1,12,2
53,ActRaiser,actr1fil.mid,TRUE,1,4,4
54,ActRaiser,Fillmore.mid,TRUE,1,5,2
55,ActRaiser,Actraiser.mid,TRUE,1,2,2
59,ActRaiser,actraiser_psalm.mid,TRUE,1,16,2
60,ActRaiser,actraiser_great_tree.mid,TRUE,1,15,4
62,ActRaiser,northwall.mid,TRUE,1,10,2
63,ActRaiser,Northwall1.mid,TRUE,1,6,2
65,ActRaiser,Northwall4.mid,TRUE,0,3,1
66,ActRaiser,Actraiser_title.mid,TRUE,1,22,4
67,ActRaiser,Actraiserintro.mid,TRUE,1,5,4
68,ActRaiser,Fanfare-2.mid,TRUE,1,8,4
69,ActRaiser,actraiser_cloud_temple.mid,TRUE,1,0,0
70,ActRaiser,Church1.mid,TRUE,1,0,0
71,ActRaiser,actraiser_volcano.mid,TRUE,1,32,4
72,ActRaiser,Aitos.mid,TRUE,1,10,3
75,ActRaiser,actrvil.mid,TRUE,1,2,1
76,ActRaiser,actraisersim2.mid,TRUE,1,4,3
78,ActRaiser,actraiser_ancient.mid,TRUE,1,20,3
79,ActRaiser,Underworld.mid,TRUE,1,8,3
81,ActRaiser 2,deathfield.mid,TRUE,0,6,3
82,ActRaiser 2,Ice_Palace_Deception.mid,TRUE,1,6,3
83,ActRaiser 2,Actraiser2-forest.mid,TRUE,1,7,3
84,ActRaiser 2,jrlepage_-_actraiser2_-_industen_greed.mid,TRUE,1,6,3
85,ActRaiser 2,Lovaous.mid,TRUE,0,10,5
86,ActRaiser 2,act2_lovaous.mid,TRUE,0,11,5
87,ActRaiser 2,modero.mid,TRUE,0,4,3
88,ActRaiser 2,towerofsoulsc.mid,TRUE,0,10,3
89,"Addams Family, The",Addamsfm.mid,TRUE,1,3,2
90,"Addams Family, The  Pugsley's Scavenger Hunt",Crystal_Ball.mid,TRUE,1,3,1
91,"Addams Family, The  Pugsley's Scavenger Hunt",AFPSHFreezerByCryogen.mid,TRUE,0,8,4
94,"Adventures of Batman and Robin, The",stage_3_museum3.mid,TRUE,1,5,2
95,Adventures of Dr. Franken,CBNocturne.mid,TRUE,1,6,4
96,Adventures of Dr. Franken,CBHaunted.mid,TRUE,1,6,3
97,Adventures of Dr. Franken,CBmoonlightv2.mid,TRUE,1,3,1
98,Adventures of Dr. Franken,CBUnderground.mid,TRUE,1,8,3
99,Aero the Acro-Bat,circusact1.mid,TRUE,0,6,4
100,Aero the Acro-Bat,Aero_-_Unused1.mid,TRUE,0,6,2
101,Aero the Acro-Bat,aeroe.mid,TRUE,1,1,1
102,Aerobiz Supersonic,Aerobiz_Supersonic_Europe.mid,TRUE,1,2,2
103,Aerobiz Supersonic,AerobizSupersonic_SoutheastAsia.mid,TRUE,0,3,2
104,Aerobiz Supersonic,South_East_Asia_Theme.mid,TRUE,1,1,1
105,Aerobiz Supersonic,snesaerobiz2-title.mid,TRUE,0,0,0
106,Akazukin ChaCha (Japan),SNESChaChaTitle.mid,TRUE,1,7,5
107,Aladdin,alad26.mid,TRUE,0,5,3
108,Aladdin,alad18.mid,TRUE,0,7,3
109,Aladdin,alad12.mid,TRUE,0,4,3
110,Aladdin,alad23.mid,TRUE,0,4,3
111,Aladdin,finaljafar.mid,TRUE,0,6,3
112,Aladdin,alad19.mid,TRUE,0,7,4
113,Aladdin,alad28.mid,TRUE,0,4,2
114,Aladdin,alad04.mid,TRUE,0,5,3
115,Aladdin,alad30.mid,TRUE,0,5,2
116,Aladdin,alad06.mid,TRUE,0,6,3
117,Aladdin,alad07.mid,TRUE,0,8,4
118,Aladdin,alad08.mid,TRUE,0,7,4
119,Aladdin,alad09.mid,TRUE,0,5,3
120,Aladdin,alad10.mid,TRUE,0,4,3
121,Aladdin,alad11.mid,TRUE,0,8,4
122,Aladdin,alad24.mid,TRUE,0,8,4
124,Albert Odyssey (Japan),ao1_blaze.mid,TRUE,1,4,3
125,Albert Odyssey (Japan),ao1_roar.mid,TRUE,1,6,3
126,Albert Odyssey (Japan),ao1_hero.mid,TRUE,1,9,3
127,Albert Odyssey 2 (Japan),ao2_frozen.mid,TRUE,1,6,4
129,Albert Odyssey 2 (Japan),ao2_with-hero.mid,TRUE,1,9,3
131,Albert Odyssey 2 (Japan),ao2_enmity.mid,TRUE,1,9,4
132,Alcahest (Japan),Alcahest_Track13.mid,TRUE,0,9,4
134,Alcahest (Japan),Alcahest_-_Floor.mid,TRUE,0,8,4
135,Alcahest (Japan),Alcahest_-_TitleScreen.mid,TRUE,0,8,2
136,Alfred Chicken,Bonus_Round.mid,TRUE,1,2,2
137,Alien 3,mission3.mid,TRUE,1,5,2
138,Alien 3,theterminalmusic.mid,TRUE,1,4,2
139,Alien 3,mission2v2.mid,TRUE,1,5,2
140,Alien 3,prisonermission.mid,TRUE,1,3,2
141,Alien 3,queenalien.mid,TRUE,1,4,2
142,Alien 3,mission4.mid,TRUE,1,4,2
143,Alien Vs. Predator,avp.mid,TRUE,1,5,4
144,Alien Vs. Predator,avp-stage4.mid,TRUE,1,4,4
145,Angelique (Japan),11_flying_town.mid,TRUE,0,2,2
146,Angelique (Japan),marcel.mid,TRUE,1,1,1
147,Angelique (Japan),olivie.mid,TRUE,1,2,2
148,Angelique (Japan),aiwokatarautoki_2.mid,TRUE,1,5,2
149,Animaniacs,Animorch.mid,TRUE,1,4,3
150,Arabian Nights,an_shukran.mid,TRUE,1,4,3
151,Arcana,jpr-arcanafinal.mid,TRUE,1,8,4
155,Arcana,arcana_bt.mid,TRUE,1,4,3
157,Arcana,arcana-boss.mid,TRUE,1,4,3
159,Arcana,LA-CardLady.mid,TRUE,1,0,0
161,Arcana,BL_arc_darkcastlebintel.mid,TRUE,1,12,5
162,Arcana,arcana-final.mid,TRUE,1,5,4
163,Arcana,Arcana_-_FinalBattleMSGS.mid,TRUE,0,10,5
164,Arcana,arcana_journey.mid,TRUE,1,6,2
165,Arcana,BL_arc_prologue.mid,TRUE,1,8,2
166,Arcana,Elemen.mid,TRUE,1,11,5
167,Arcana,balnia.mid,TRUE,1,1,1
